"VGC id","Name","Platform","Notes","Cart","Box","Manual","Other","Purchased Price","Purchased Date","Added",
"39557","MSR: Metropolis Street Racer","Sega Dreamcast [EU]","","No","No","No","No","","0000-00-00","2021-04-29 16:42:28",
"64615","Naruto Shippuden: Ultimate Ninja 4","PlayStation 2 [EU]","","No","No","No","No","","0000-00-00","2015-04-15 10:50:13",
"64610","Naruto Shippuden: Ultimate Ninja 5","PlayStation 2 [EU]","","No","No","No","No","","0000-00-00","2015-04-15 10:50:13",
"42865","Naruto Shippuden: Ultimate Ninja Storm 2","PlayStation 3 [EU]","","No","No","No","No","","0000-00-00","2018-11-14 17:53:12",
"42933","Naruto Ultimate Ninja Storm [FI][SE][PT]","PlayStation 3 [EU]","","No","No","No","No","","0000-00-00","2018-11-14 17:53:12",
"45545","Naruto: Ultimate Ninja","PlayStation 2 [EU]","","No","No","No","No","","0000-00-00","2015-04-15 10:50:13",
"66795","Naruto: Ultimate Ninja 2","PlayStation 2 [EU]","","No","No","No","No","","0000-00-00","2015-04-15 10:50:13",
"45613","Naruto: Ultimate Ninja 3","PlayStation 2 [EU]","","No","No","No","No","","0000-00-00","2015-04-15 10:50:13",
"170532","Naruto: Uzumaki Chronicles 2","PlayStation 2 [EU]","","No","No","No","No","","0000-00-00","2024-09-14 11:05:26",
"81995","NBA 2K10","Xbox 360 [EU]","","No","No","No","No","0.00","0000-00-00","2015-04-15 14:21:14",
"49648","NBA Jam: Tournament Edition","Sega Mega Drive [EU]","","No","No","No","No","0.00","0000-00-00","2015-04-12 18:01:34",
"31820","Need for Speed Underground - Platinum","PlayStation 2 [EU]","","No","No","No","No","0.00","0000-00-00","2015-04-18 16:55:21",
"30291","Need for Speed Underground 2","PlayStation 2 [EU]","","No","No","No","No","","0000-00-00","2015-04-15 14:22:18",
"179337","New Super Lucky's Tale","PlayStation 4 [EU]","","No","No","No","No","","0000-00-00","2021-04-24 08:39:41",
"149957","New Super Mario Bros. U Deluxe","Nintendo Switch [EU]","","No","No","No","No","","0000-00-00","2024-12-21 06:44:56",
"99032","Ni no Kuni II: Revenant Kingdom","PlayStation 4 [EU]","","No","No","No","No","","0000-00-00","2023-02-25 09:52:07",
"41485","Ni no Kuni: Wrath of the White Witch","PlayStation 3 [EU]","","No","No","No","No","","0000-00-00","2020-06-08 13:21:47",
"126809","NieR: Automata","PlayStation 4 [EU]","","No","No","No","No","","0000-00-00","2017-11-10 05:47:46",
"24294","Nights into Dreams...","Sega Saturn [EU]","","No","No","No","No","","0000-00-00","2015-04-12 18:19:19",
"60096","Nights: Journey of Dreams","Wii [EU]","","No","No","No","No","0.00","0000-00-00","2015-04-13 14:27:36",
"31580","Nightshade","PlayStation 2 [EU]","","No","No","No","No","0.00","0000-00-00","2015-04-15 17:35:11",
"45484","Ninja Blade","Xbox 360 [EU]","","No","No","No","No","","0000-00-00","2017-08-11 16:07:08",
"46216","Ninja Gaiden","Xbox [EU]","","No","No","No","No","0.00","0000-00-00","2015-04-12 18:05:30",
"57901","Ninja Gaiden II [UK]","Xbox 360 [EU]","","No","No","No","No","0.00","0000-00-00","2015-04-15 13:22:04",
"110530","Nioh","PlayStation 4 [EU]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2017-12-02 09:26:57",
"145861","Nioh 2","PlayStation 4 [EU]","","No","No","No","No","","0000-00-00","2023-06-29 12:07:38",
"41422","No More Heroes","Wii [EU]","","No","No","No","No","","0000-00-00","2024-08-24 17:58:11",
"15210","Odin Sphere","PlayStation 2 [EU]","","No","No","No","No","0.00","0000-00-00","2015-04-13 14:46:20",
"19625","Okami","PlayStation 2 [EU]","","No","No","No","No","0.00","0000-00-00","2015-04-12 18:23:26",
"182044","Order, The: 1886","PlayStation 4 [EU]","","No","No","No","No","","0000-00-00","2023-06-20 11:57:20",
